date,daily_dataset_slug,daily_dataset_url,episode_count,total_bytes,top_avg_score,median_avg_score
2026-06-16,pokemon-tcg-ai-battle-episodes-2026-06-16,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-06-16,1277,2854565943,1024.643707,627.771126
2026-06-17,pokemon-tcg-ai-battle-episodes-2026-06-17,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-06-17,7819,21474554811,1259.804498,761.005766
2026-06-18,pokemon-tcg-ai-battle-episodes-2026-06-18,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-06-18,6532,21474554331,1327.123541,926.601386
2026-06-19,pokemon-tcg-ai-battle-episodes-2026-06-19,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-06-19,5426,21472784639,1324.930326,1013.694841
2026-06-20,pokemon-tcg-ai-battle-episodes-2026-06-20,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-06-20,5178,21474153388,1311.233883,1063.760850
2026-06-21,pokemon-tcg-ai-battle-episodes-2026-06-21,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-06-21,5054,21473248282,1331.998069,1110.660960
2026-06-22,pokemon-tcg-ai-battle-episodes-2026-06-22,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-06-22,5062,21472042818,1346.785101,1049.009917
2026-06-23,pokemon-tcg-ai-battle-episodes-2026-06-23,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-06-23,6420,21471799701,1314.073137,735.646630
2026-06-24,pokemon-tcg-ai-battle-episodes-2026-06-24,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-06-24,5516,21471061743,1343.560242,1004.755931
2026-06-25,pokemon-tcg-ai-battle-episodes-2026-06-25,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-06-25,5495,21472346483,1369.202561,1005.657011
2026-06-26,pokemon-tcg-ai-battle-episodes-2026-06-26,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-06-26,5600,21474755362,1367.712989,1009.137685
2026-06-27,pokemon-tcg-ai-battle-episodes-2026-06-27,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-06-27,5919,21470002917,1392.573343,1011.754205
2026-06-28,pokemon-tcg-ai-battle-episodes-2026-06-28,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-06-28,6002,21474629150,1403.542784,1021.319575
2026-06-29,pokemon-tcg-ai-battle-episodes-2026-06-29,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-06-29,5992,21473872622,1411.126738,1031.893209
2026-06-30,pokemon-tcg-ai-battle-episodes-2026-06-30,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-06-30,5734,21469488677,1386.942931,1112.832961
2026-07-01,pokemon-tcg-ai-battle-episodes-2026-07-01,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-01,5266,21472709170,1344.584468,1180.260904
2026-07-02,pokemon-tcg-ai-battle-episodes-2026-07-02,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-02,5153,21473785185,1274.779486,1135.927808
2026-07-03,pokemon-tcg-ai-battle-episodes-2026-07-03,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-03,5133,21473781654,1250.921561,1104.464801
2026-07-04,pokemon-tcg-ai-battle-episodes-2026-07-04,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-04,4975,21473046866,1258.026805,1101.422470
2026-07-05,pokemon-tcg-ai-battle-episodes-2026-07-05,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-05,5034,21473460761,1237.003858,1077.617445
2026-07-06,pokemon-tcg-ai-battle-episodes-2026-07-06,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-06,5333,21473632225,1240.853827,1078.668509
2026-07-07,pokemon-tcg-ai-battle-episodes-2026-07-07,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-07,5202,21473647467,1224.934665,1069.906913
2026-07-08,pokemon-tcg-ai-battle-episodes-2026-07-08,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-08,5198,21471837733,1179.688420,1072.877271
2026-07-09,pokemon-tcg-ai-battle-episodes-2026-07-09,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-09,4870,21469602103,1250.800564,1081.919526
2026-07-10,pokemon-tcg-ai-battle-episodes-2026-07-10,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-10,5226,21474580839,1297.150877,1085.958407
2026-07-11,pokemon-tcg-ai-battle-episodes-2026-07-11,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-11,5018,21474485789,1278.699424,1097.145051
2026-07-12,pokemon-tcg-ai-battle-episodes-2026-07-12,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-12,5050,21470572183,1278.443804,1112.236084
2026-07-13,pokemon-tcg-ai-battle-episodes-2026-07-13,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-13,5039,21473083146,1250.333634,1112.924091
2026-07-14,pokemon-tcg-ai-battle-episodes-2026-07-14,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-14,4929,21472405257,1271.742633,1126.666949
2026-07-15,pokemon-tcg-ai-battle-episodes-2026-07-15,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-15,4825,21471171444,1299.096870,1125.938479
2026-07-16,pokemon-tcg-ai-battle-episodes-2026-07-16,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-16,4760,21473862236,1278.472224,1128.770156
2026-07-17,pokemon-tcg-ai-battle-episodes-2026-07-17,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-17,4635,21473789175,1270.650077,1141.243087
2026-07-18,pokemon-tcg-ai-battle-episodes-2026-07-18,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-18,4811,21471735255,1257.335137,1122.876911
2026-07-19,pokemon-tcg-ai-battle-episodes-2026-07-19,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-19,4542,21418157194,1253.358939,1126.397776
2026-07-20,pokemon-tcg-ai-battle-episodes-2026-07-20,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-20,4545,21474684897,1229.051905,1115.439778
2026-07-21,pokemon-tcg-ai-battle-episodes-2026-07-21,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-21,4612,21471745706,1230.491422,1103.435503
2026-07-22,pokemon-tcg-ai-battle-episodes-2026-07-22,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-22,4639,21473743622,1226.382970,1098.405801
2026-07-23,pokemon-tcg-ai-battle-episodes-2026-07-23,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-23,4559,21474555587,1204.656601,1094.504166
