cluster_id,member_count,cluster_games,cluster_wins,cluster_win_rate,cluster_game_share,is_major_cluster,representative_filename,representative_games,representative_win_rate,representative_adjusted_win_rate,representative_centrality,representative_main_pokemon,competitive_filename,competitive_games,competitive_win_rate,competitive_adjusted_win_rate,competitive_centrality,competitive_main_pokemon,competitive_minimum_games_applied,same_deck_for_both
0,200,76893,36912,0.48004369708556044,0.339171974522293,True,cluster_00_representative.csv,23626,0.5025819012951833,0.5025628382788511,0.916427373102885,ケーシィ×4 / フーディン×4 / ユンゲラー×4 / ノコッチ×3 / ノココッチ×2 / キチキギスex×1 / シェイミ×1,cluster_00_competitive.csv,511,0.547945205479452,0.5453877098713958,0.8877674170600725,ケーシィ×4 / フーディン×4 / ユンゲラー×4 / ノコッチ×3 / ノココッチ×2 / キチキギスex×1,True,False
1,69,50819,26136,0.514295834235227,0.22416059424457893,True,cluster_01_representative.csv,16639,0.5149347917543121,0.5149340246524224,0.9043530306906211,マシマシラ×4 / マリィのベロバー×4 / マリィのオーロンゲex×3 / マリィのギモー×3 / ユキメノコ×2 / ユキワラシ×2,cluster_01_competitive.csv,10956,0.5354143848119751,0.535375903488038,0.9029683779688702,マシマシラ×4 / マリィのベロバー×4 / マリィのオーロンゲex×3 / マリィのギモー×3 / ユキメノコ×2 / ユキワラシ×2,True,False
2,55,28610,14191,0.4960153792380287,0.12619757573618928,True,cluster_02_representative.csv,9579,0.4994258273306191,0.4994187214902345,0.8579785622742635,イシズマイ×4 / イワパレス×4 / メガガルーラex×4 / シェイミ×1,cluster_02_competitive.csv,5639,0.5064727788615002,0.5064358203896024,0.8559338226727256,イシズマイ×4 / イワパレス×4 / メガガルーラex×4,True,False
3,64,15646,7886,0.5040265882653714,0.0690138857031953,True,cluster_03_representative.csv,3645,0.5251028806584362,0.5249878667845314,0.6341663470961694,ヒトデマン×4 / メガスターミーex×3 / サマヨール×2 / ヨノワール×2 / ヨマワル×2,cluster_03_competitive.csv,3645,0.5251028806584362,0.5249878667845314,0.6341663470961694,ヒトデマン×4 / メガスターミーex×3 / サマヨール×2 / ヨノワール×2 / ヨマワル×2,True,True
4,24,12786,6768,0.5293289535429376,0.05639853908993066,True,cluster_04_representative.csv,11011,0.5440014530923621,0.5439748507905773,0.9851712810886905,シロナのガバイト×4 / シロナのフカマル×4 / シロナのロゼリア×4 / シロナのガブリアスex×3 / シロナのロズレイド×3 / シロナのミカルゲ×2,cluster_04_competitive.csv,11011,0.5440014530923621,0.5439748507905773,0.9851712810886905,シロナのガバイト×4 / シロナのフカマル×4 / シロナのロゼリア×4 / シロナのガブリアスex×3 / シロナのロズレイド×3 / シロナのミカルゲ×2,True,True
5,31,12296,6654,0.5411515940143136,0.05423716851632938,True,cluster_05_representative.csv,2101,0.5654450261780105,0.565215950910083,0.9202667534157452,ロケット団のタマンチュラ×4 / ロケット団のワナイダー×4 / ロケット団のミミッキュ×3 / ロケット団のフリーザー×2 / ロケット団のミュウツーex×2,cluster_05_competitive.csv,80,0.6,0.5882303188028627,0.8909292995011927,ロケット団のタマンチュラ×4 / ロケット団のワナイダー×4 / ロケット団のフリーザー×2 / ロケット団のミミッキュ×2 / ロケット団のミュウツーex×2 / シェイミ×1,True,False
6,37,8491,4095,0.482275350370981,0.03745346436826226,True,cluster_06_representative.csv,2165,0.47990762124711317,0.479929293824906,0.7067620617909159,メガルカリオex×4 / リオル×4 / ソルロック×3 / ルナトーン×3,cluster_06_competitive.csv,54,0.5555555555555556,0.5357500946948598,0.678006124131433,イイネイヌ×3 / ソルロック×3 / カメテテ×2 / ガメノデス×2 / ルナトーン×2 / マシマシラ×1,True,False
7,40,6841,3508,0.5127905277006286,0.030175379783686503,True,cluster_07_representative.csv,1327,0.5244913338357197,0.524317602489987,0.9117404862836818,ドラメシヤ×4 / ドロンチ×4 / ドラパルトex×3 / スボミー×2 / マシマシラ×2 / キチキギスex×1 / ニャースex×1,cluster_07_competitive.csv,437,0.5560640732265446,0.5541702637943382,0.9028382790040445,ドラメシヤ×4 / ドロンチ×4 / ドラパルトex×3 / スボミー×2 / マシマシラ×2 / キチキギスex×1 / ニャースex×1,True,False
8,84,6635,2989,0.4504898266767144,0.029266721950703106,True,cluster_08_representative.csv,1442,0.4667128987517337,0.46649096890118624,0.8871916603868376,エースバーン×4 / ジュラルドン×4 / ブリジュラスex×4,cluster_08_competitive.csv,30,0.5333333333333333,0.5001959306706858,0.8764405928158753,エースバーン×4 / ジュラルドン×4 / ブリジュラスex×4,True,False
9,5,4336,2349,0.5417435424354243,0.019125924096194222,True,cluster_09_representative.csv,1691,0.5481963335304554,0.5481209063990115,0.8601706642066421,メガガルーラex×4 / オーガポン みどりのめんex×3 / ニャースex×3 / タケルライコex×2 / ラティアスex×2 / オーガポン いどのめんex×1 / キチキギスex×1 / リーリエのピッピex×1,cluster_09_competitive.csv,1165,0.559656652360515,0.5593543213913152,0.8618004305043051,メガガルーラex×4 / オーガポン みどりのめんex×3 / ニャースex×3 / キチキギスex×2 / タケルライコex×2 / ラティアスex×2 / リーリエのピッピex×2 / オーガポン いどのめんex×1,True,False
